CHOU, T
LOZANO, GS
MANIAS, MV
MORENO, EF
BRUINSMA, R
GRUNER, G
DORSOGNA, MR
MONTGOMERY, LK
UJI, S
TERASHIMA, T
TERAKURA, C
HUKE, B
LUCKE, M
MILLANGE, F
BRION, SD
CHOUTEAU, G
NEKRASOV, IA
HELD, K
BLUMER, N
POTERYAEV, AI
VOLLHARDT, D
YUMOTO, M
FUKUYAMA, H
MATSUKAWA, H
NAGAOSA, N
MONACHESI, P
PALUMMO, M
SOLE, RD
AHUJA, R
ERIKSSON, O
GARIN, GFJ
FATH, G
SUTO, A
KAUR, N
BAJWA, N
DESPLAT, JC
PAGONABARRAGA, I
BLADON, P
PELLICANE, G
VIDAL, J
DOUCOT, B
BUTAUD, P
EIN-DOR, L
PACI, P
BAIER, T
BICK, E
WETTERICH, C
PSAROBAS, IE
STEFANOU, N
MODINOS, A
MADISON, K
TENNANT, DA
BROHOLM, C
REICH, DH
NAGLER, SE
GRANROTH, GE
BARNES, T
SALES, BC
PI, HJ
PARK, SY
LEE, KJ
SCHOELLMANN, S
JAFARIZADEH, MA
GHIVELDER, L
FREITAS, RS
RAPP, RE
CHAVES, FAB
GUSMAO, MA
POLKOVNIKOV, A
SURIS, R
WILKIN, NK
PANYUKOV, S
MOHANTY, P
WEBB, RA
BIALEK, W
KOBAYASHI, T
SHIMBORI, T
YOO, JW
PRIGOZHIN, L
ZALTZMAN, B
VISSCHER, MI
REJAEI, B
IMRY, Y
CINI, M
BALZAROTTI, A
BRUNETTI, R
GIMELLI, M
STEFANUCCI, G
KAGAN, Y
RAJ, S
PADHI, HC
RAYACHAUDHURY, P
NIGAM, AK
POLASIK, M
LEEB, H
GROETZ, H
KASPER, J
LIPPERHEIDE, R
LEVY, P
PARISI, F
POLLA, G
VEGA, D
LEYVA, G
LANZA, H
MITCHELL, SJ
BROWN, G
MYERS, EB
LEBOVKA, NI
BAZHAL, MI
VOROBIEV, EI
PANNETIER, B
ABILIO, CC
SERRET, E
FOURNIER, T
VINK, RLC
WEG, WFVD
NADAL, JP
AIRES, F
MAILLET, JB
YEPEZ, J
WAGNER, AJ
KAWAGUCHI, T
FANGOHR, H
GROOT, PAJD
COX, SJ
ZIFF, RM
ONODY, RN
MEDEIROS, NGFD
NAROZHNY, BN
CHIORESCU, I
GIRAUD, R
OTSUKA, Y
HATSUGAI, Y
HASEGAWA, H
MELZI, R
CARRETTA, P
LASCIALFARI, A
MILLET, P
JANOSSY, A
FEHER, T
STEPANIC, J
CARTA, P
ZIPPER, E
LISOWSKI, M
TSUBOTA, M
ARAKI, T
NEMIROVSKII, SK
SANO, K
PEREZ-CASTILLO, I
BOSSIS, G
FARHANGFAR, S
POIKOLAINEN, RS
PEKOLA, JP
GOLUBEV, DS
BERNAOLA-GALVAN, P
IVANOV, PC
GOLDBERGER, AL
VSPIVCKA, V
LIPAVSKY, P
BILLE, A
SCHARNBERG, K
ISOSHIMA, T
OHMI, T
BROSIG, S
JANSEN, AG
NGUYEN, C
BRAR, B
THOMAS, M
KROEMER, H
VITOS, L
JOHANSSON, B
KOLLAR, J
SKRIVER, HL
JAGER, BGL
WIMMER, S
LORKE, A
LOPEZ, C
ROMANO, A
ALTMANN, KN
PETROVYKH, DY
MANKEY, GJ
GILMAN, N
HOCHSTRASSER, M
WILLIS, RF
HIMPSEL, FJ
BAG, BC
RAY, DS
SLAVNOV, NA
CARLOS, LD
FERREIRA, RAS
BERMUDEZ, VDZ
RIBEIRO, SJL
MENOTTI, C
SIMSARIAN, JE
DENSCHLAG, J
EDWARDS, M
CLARK, CW
DENG, L
HAGLEY, EW
HELMERSON, K
ROLSTON, SL
PHILLIPS, WD
T, NT
I, SB
GAUDOIN, R
NEKOVEE, M
FOULKES, WMC
NEEDS, RJ
RAJAGOPAL, G
BORREGA, R
CLOITRE, M
TSONCHEV, S
COALSON, RD
CHERN, SS
DUNCAN, A
CHIN, CS
NIJS, MD
MOESSNER, R
ZHANG, XW
LIU, ZR
MORINARI, T
SIGRIST, M
XIA, K
TUREK, I
KUDRNOVSKY, J
DRCHAL, V
ALEXANDROV, AS
ANDREEV, AF
SUBRAMANIAN, MA
NORRELYKKE, SF
MATACZ, A
WATANABE, M
ITOH, KM
OOTUKA, Y
HALLER, EE
CLARKE, N
CUESTA, JA
SEAR, R
SPERANZA, A
MUELLER-HARTMANN, E
MUELLER, EJ
BAYM, G
SHENOY, V
SHARMA, A
CAMPANA, A
CORTI, M
UFFINK, J
LEGGETT, AJ
SNOKE, DW
VISWANATHAN, GM
GARGER, EK
KASHPUR, VA
LUCENA, LS
SHLYAKHTER, A
TSCHIERSCH, J
BRATKOVSKY, AM
LEVANYUK, AP
HU, JP
ZHANG, SC
AOYAMA, T
MIRZAEE, M
AGHLARA, H
PACZUSKI, M
BASSLER, KE
LIU, JS
ASO, N
YOSIHAMA, T
NUKUI, K
KODAMA, K
KRISHNA, MMG
SAMUEL, J
SINHA, S
SICHELSCHMIDT, J
BAENITZ, M
OTTO, HH
GEIBEL, C
STOFFE, FSMPIFCPF
CAMPI, X
KRIVINE, H
SATOR, N
CONTROZZI, D
MEZZETTI, E
CHIODONI, A
GERBALDO, R
GHIGO, G
GOZZELINO, L
MINETTI, B
CAMERLINGO, C
GIANNINI, C
GIACOMETTI, A
BRUNET, E
CZOPNIK, R
CREFFIELD, CE
HAUSLER, W
BOWICK, M
EVANS, R
RADWANSKI, RJ
ROPKA, Z
MICHALSKI, R
DIAMANT, H
WITTEN, TA
GOPAL, A
LEE, KYC
BOTH, JA
MELIN, R
ASHKENAZY, Y
PENG, CK
ANDERSON, BP
HALJAN, PC
INO, A
KIM, C
YOSHIDA, T
MIZOKAWA, T
SHEN, ZX
FUJIMORI, A
KAKESHITA, T
CHANG, L
KIM, TS
YANG, SRE
JUHASZ, R
KALLUNKI, J
KRUG, J
JACCARD, D
WILHELM, H
MOSER, J
PLASTINO, AR
USKI, V
MEHLIG, B
ROMER, RA
RANJAN, K
SINGH, S
DEWAR, RC
ALLAHVERDYAN, AE
NIEUWENHUIZEN, TM
DEKADJEVI, DT
RYAN, PA
FULTHORPE, BD
TANNER, BK
PIASECKI, R
BEZUGLYI, EV
BRATUS, EN
TAKAYANAGI, H
LEMIEUX, PA
DURIAN, DJ
ESCHRIG, M
HASTINGS, MB
LI, LX
SUN, S
CHANG, YC
BOGDANOV, PV
LANZARA, A
ZHOU, XJ
KELLAR, SA
FENG, DL
LU, ED
SHIMOYAMA, J
HUSSAIN, Z
SIVACHENKO, AY
RAIKH, ME
VARDENY, ZV
LAUCHLI, A
MANEKAR, M
MUZY, JF
DELOUR, J
BACRY, E
DISCHNER, M
SPARN, G
STEGLICH, F
MEIBOHM, M
GIPPIUS, AA
POILBLANC, D
CHIAPPA, O
RIERA, J
SCALAPINO, DJ
BASTIAN, G
KORMANYOS, A
BECK, C
JANKOVIC, L
PICHUGIN, KN
STREDA, P
MEREGALLI, V
PARRINELLO, M
MEYER-ORTMANNS, H
REISZ, T
SIRINGO, F
OLSSON, P
HOLME, P
BOWLER, DR
FISHER, AJ
LEVY, M
VILLAIN, P
OHBERG, P
NOGUEIRA, FS
KABANOV, VV
ALTMAN, E
LEWIS, RM
WEI, HP
LIN, SY
KLEM, JF
GILLET, F
PIERRE-LOUIS, O
KATSANOS, SNESJXPMDE
BERKOVITS, R
LIKHACHEV, AA
GOLDENBERG, J
LIBAI, B
JAN, N
STAUFFER, D
PUSTILNIK, M
GLAZMAN, L
DELFINO, A
COSTA, EV
LEITE, CAF
DUQUE, D
SHATNER, M
MUCHNIK, L
LESHNO, M
MULLER-PLATHE, F
HEUER, A
CHARITAT, T
WATANABE, T
FUJII, T
MATSUDA, A
SHIMSHONI, E
PETRASHOV, VT
SOSNIN, IA
TROADEC, C
COX, I
PARSONS, A
THOULESS, DJ
RHEE, SW
VINEN, WF
KEMPA, H
SETZER, A
TORRES, JHS
PAN, AV
GIADA, L
CHAKRAVARTY, S
LAUGHLIN, RB
VOLLMAYR-LEE, BP
LUIJTEN, E
LIMA, GF
MARTINEZ, AS
KINOUCHI, O
GARNCAREK, Z
SHCHUR, LN
VASILYEV, OA
ROUSSEV, R
MIHALEK, I
FOERSTER, A
LINKS, J
TONEL, AP
RACZ, Z
SVERDLOV, VA
LIKHAREV, KK
BALAKIREV, FF
BETTS, JB
BOEBINGER, GS
QIU, XG
KARPINSKI, J
KIDA, N
HANGYO, M
TONOUCHI, M
KUZIAN, RO
GRIMM, U
ROSCILDE, T
VERRUCCHI, P
KANESHITA, E
ICHIOKA, M
LAVAL, JP
CHAVANIS, PH
AND, BD
RUOSTEKOSKI, J
TANG, JM
KUMAR, S
GIRI, D
KRISHNA, S
ZACHER, MG
FERRER, AV
CALDEIRA, AO
SORNETTE, TPOD
MCPHERRON, RL
KASSNER, K
KAPPEY, J
KOHLERT, P
XUE, J
SMITH, KE
SALVO, FJD
MIELKE, CH
RICKEL, DG
HAN, SY
HEURICH, J
PAPENBROCK, T
BERTSCH, GF
MAEZONO, R
WOLFLE, P
PAN, SH
HUDSON, EW
GUPTA, AK
NG, KW
DAVIS, JC
KASTRINAKIS, G
HASSELMANN, N
SMITH, CM
PAPADAKIS, SJ
POORTERE, EPD
SHAYEGAN, M
YETHIRAJ, A
BECHHOEFER, J
RAO, S
SINGH, Y
HIDA, K
FUJIKAWA, K
KAWANO-FURUKAWA, H
KUWAHARA, H
RADANTSEV, VF
YAFYASOV, AM
BOGEVOLNOV, VB
IVANKIV, IM
KURCHAN, J
AHR, M
KINNE, M
PESTOV, EE
NOZDRIN, YN
KURIN, VV
YAGI, T
KUBOKI, K
SHIINA, R
JOSHI, A
MA, M
ANISIMOV, V
HO, TL
BUREAU, L
BAUMBERGER, T
KEE, HY
IWATA, JI
YABANA, K
RYCHEN, J
IHN, T
STUDERUS, P
HERRMANN, A
HUG, HJ
SCHENDEL, PJAV
GUENTHERODT, HJ
MARTENS, HCF
REEDIJK, JA
LEEUW, DMD
MENON, R
RAINER, D
HILFER, R
VIVERIT, L
GIORGINI, S
STRINGARI, S
STEINLE-NEUMANN, G
STIXRUDE, L
COHEN, RE
HU, H
XIONG, JJ
JENSEN, PJ
AGUILERA-GRANJA, F
SCHWAB, P
KLOSTER, M
MASLOV, S
TANG, C
MOSHOPOULOU, EG
JAIME, M
HUNDLEY, MF
SARRAO, JL
RONSIN, O
COEYREHOURCQ, KL
AGHAMOHAMMADI, A
KHORRAMI, M
ARODZ, H
PELKA, R
GAVILANO, JL
MUSHKOLAJ, S
OTT, HR
PARIMI, PV
SOKOLOFF, JB
KAPRIVSKY, PL
SIRE, C
MANYALA, N
SIIDS, Y
YOUNG, DP
PICCO, M
GANGARDT, DM
MOTRUNICH, O
DAMLE, K
HUSE, DA
SANCTUARY, BC
SOKOLOV, SS
REINERT, ADBG
KULIK, IO
BOYACI, H
GEDIK, Z
GOLO, VL
KATS, EI
YEVDOKIMOV, YM
LUAN, PG
DIEHL, HW
SHPOT, M
FUJISAWA, T
YANG, SJ
ARTAMONOV, SA
ANANIKIAN, NS
GHULGHAZARYAN, RG
SHIMADA, T
MURAKAMI, T
YUKAWA, S
ITO, N
IONOV, AN
ZAKREVSKII, VA
LAZEBNIK, JM
RENTZSCH, R
SVETLICHNY, VM
YUROVSKY, VA
BEN-REUVEN, A
WILLIAMS, CJ
ZIJLSTRA, ES
STRINATI, GC
MOMOI, T
TOTSUKA, K
WROBEL, P
BALESTRINO, G
LAVANGA, S
MARTELLUCCI, S
MEDAGLIA, PG
PAOLETTI, A
PASQUINI, G
PETROCELLI, G
TEBANO, A
RYZHOV, VN
TAREYEVA, EE
KENDON, VM
OH, JOS
ODONNEL, J
BENZA, VG
POULSEN, UV
MOLMER, K
KOIKEGAMI, S
HOGAN-ONEILL, JJ
ANNETT, JF
MARTIN, AM
CIZEAU, P
POTTERS, M
VALENTI, R
BRENIG, W
SHILTON, JM
ROBINSON, AM
AOYAMA, H
NAGAHARA, Y
OKAZAKI, MP
SOUMA, W
TAKAYASU, H
TAKAYASU, M
CREN, T
RODITCHEV, D
SACKS, W
SCHMITT, OM
THOAI, DBT
GARTNER, P
HAUG, H
MALEK, R
MOUSSEAU, N
REJMER, K
NAPIORKOWSKI, M
CRISANTI, A
SELLITTO, M
KOS, S
DINCER, Y
SENGUPTA, K
KWON, HJ
URBAKH, M
KRAVCHENKO, SV
WIESE, K
WANG, Y
BERNARDI, LW
TOBO, A
ITO, A
LEUNG, KT
BAAKE, M
JOSEPH, D
KRAMER, P
SCHLOTTMANN, M
SMAIL, AS
CARLON, E
SASVARI, M
WOLF, DE
GOVAERTS, J
BERTRAND, D
STENUIT, G
HAEBERLE, P
IBANEZ, W
ESPARZA, R
VARGAS, P
GUPTA, R
JOSHI, JP
BHAT, SV
MICHEL, KH
NIKOLAEV, AV
LEUENBERGER, MN
KAWAMOTO, T
ASAI, Y
SILHANEK, AV
THOMPSON, JR
CIVALE, L
TOMY, CV
ZIEVE, RJ
DONEV, LAK
SILLER, T
LE, X
BICKEL, T
JEPPESEN, C
MARQUES, CM
VILLAGONZALO, C
MACKINNON, A
FONG, HF
BOSSY, J
FREIRE, JAK
FREIRE, VN
FARIAS, GA
ZAVARITSKY, VN
SPRINGFORD, M
FISHMAN, S
BRUM, J
ZHENG, GQ
OZAKI, H
KITAOKA, Y
KUHNS, P
REYES, AP
MOULTON, WG
KONDO, T
SHIMAKAWA, Y
KUBO, Y
MIRKOVIC, J
SAVELEV, SE
SUGAHARA, E
KADOWAKI, K
KAKEYA, I
WADA, T
NAKAMURA, R
KAODOWAKI, K
KUMAGAI, A
HAYASHI, M
EBISAWA, H
SHVAIKA, AM
TABUNSHCHYK, KV
CORNELL, SJ
BONNEFONT, A
ARGOUL, F
BAZANT, MZ
BELLESSA, G
VERNIER, N
BARRAT, A
KIM, K
KONG, YS
MARTINEZ, S
PARK, QH
EBERLY, JH
ONOFRIO, R
RAMAN, C
VOGELS, JM
ABO-SHAEER, J
ZHONG, Y
YOO, J
HENDRICKSON, DN
ZALIZNYAK, IA
TRANQUADA, JM
ERWIN, R
CAPELLE, K
VIGNALE, G
FAIN, B
LEVITT, M
MAIER, RS
LIU, L
JAYANTHI, CS
WU, SY
LIM, SW
PASINI, JM
NEUEFEIND, J
WINIECKI, T
ADAMS, CS
LIVERPOOL, TB
HUNNEFELD, H
NIEMOLLER, T
SCHNEIDER, JR
KAUFMANN, BA
RUTT, U
RODEWALD, S
FLEIG, J
ALBER, G
FOLCH, R
TOTH-KATONA, T
BUKA, A
CASADEMUNT, J
HOOGLAND, J
NEUMANN, D
EBERT, P
URBAN, K
ABALLE, L
CHEN, CH
HORN, K
SCHWARZ, G
NEUGEBAUER, J
BONIFACIO, R
MCNEIL, BWJ
PIOVELLA, N
ROBB, GRM
SKIPETROV, SE
MAYNARD, R
MASON, N
KAPITULNIK, A
LORETO, V
RAKHMANOV, AL
BLANTER, YM
DING, H
ENGELBRECHT, JR
WANG, Z
WANG, SC
YANG, HB
ROGAN, R
TAKAHASHI, T
FLORES, J
HOROI, M
SELIGMAN, TH
HUANG, ZF
LAWRENCE, JM
RISEBOROUGH, PS
OSBORN, R
PATTANAYAK, AK
SACKETT, CA
HULET, RG
CAVE, BDLMAJ
JONES, B
NAVEH, Y
PATEL, V
TAKEYA, J
TANAKA, I
FEIGELSON, RS
ITOI, C
CHAMPEL, T
FISCHER, HE
SCHROER, W
STEINER, M
MEHTA, A
BARKER, GC
BROGIOLI, D
OLSEN, NB
CHRISTENSEN, T
DYRE, JC
RAMAZASHVILI, R
WERNER, R
HOLICKI, M
SCALETTAR, RT
NAUD, JD
HUANG, J
ERADAT, N
ZAKHIDOV, AA
BAUGHMAN, RH
RODRIGUEZ, JP
SANIZ, R
TSIMRING, LS
AL-OMARI, A
WAGHMARE, UV
KIM, H
PARK, IJ
MODINE, N
MARAGAKIS, P
KAXIRAS, E
AUSLENDER, M
KOGAN, E
MATSUURA, M
HIRAKA, H
KUPLEVAKHSKY, SV
RADAELLI, PG
IBBERSON, RM
ARGYRIOU, DN
CASALTA, H
KANDEL, NID
GORAL, K
GAJDA, M
RZAZEWSKI, K
NUSSINOV, Z
VALIN-RODRIGUEZ, M
XIAO, ZL
ANDREI, EY
SHUK, P
GREENBLAT, M
SRINIVAS, G
BAGCHI, B
BOLHUIS, PG
CHEMISTRY, EJM
ENGINEERING, CUC
LI, MS
CIEPLAK, M
SUSHKO, N
GLIOZZI, F
NECCO, S
KATSNELSON, MI
TREFILOV, AV
KHROMOV, KY
LUO, P
VENIMADHAV, A
HEGDE, MS
RAWAT, R
DAS, I
BALLESTEROS, HG
RUIZ-LORENZO, JJ
GULSEREN, O
FRANOSCH, T
FUCHS, M
GOV, N
LUMSDEN, MD
MANDRUS, D
CASTELLAN, JP
MINTS, RG
PAPIASHVILI, I
MOSES, P
CHEYBANI, S
PILGRAM, S
BEDNORZ, A
TAKHTAMIROV, EE
VOLKOV, VA
SHIZUYA, K
RIOS, PDL
PLA, O
DIAZ-SANCHEZ, A
MOBIUS, A
ORTUNO, M
NEKLIOUDOV, A
HERNANDEZ, E
ORDEJON, P
BOUSTANI, I
STELITANO, D
ROTHMAN, DH
SORENSEN, ES
MAVROMATOS, NE
TOMASSONE, MS
SRIVASTAVA, YN
HANNOUT, M
KASSUBEK, F
STAFFORD, CA
GOLDSTEIN, RE
CURADO, EMF
REGO-MONTEIRO, MA
BECK, TL
PRIEZJEV, N
PELCOVITS, RA
BOMPADRE, SG
BIAGINI, C
MASLOV, D
HEBARD, AF
DUAN, W
DOTERA, T
DAN, D
MAHATO, MC
AQUINO, G
SCAFETTA, N
PRIEZZHEV, V
CARRA, P
BENOIST, R
THIMM, W
FRIEDRICH, C
ROTHS, T
HONERKAMP, J
SALERNO, M
DUM, R
MANDONNET, E
LI, S
DURU, P
SIGALAS, M
HUCKER, M
BUCHNER, B
KINKHABWALA, YA
MRYASOV, ON
GORNOSTYREV, YN
JENSEN, HJ
GIACCONI, P
SOLDATI, R
SANTORO, G
SCANDOLO, S
GROUSSON, M
PRICOUPENKO, L
LAU, AWC
HENNION, B
GAUTIER-PICARD, P
NEWMAN, M
VALONE, SM
DODGE, JS
WEBER, CP
SCHLESINGER, Z
REINER, JW
BEASLEY, MR
SCHINDELIN, C
CHUNG, SG
ROGERS, CL
SANYAL, S
YAVICH, D
LEAL, LG
LIU, RB
ZHU, BF
INAGAKI, TJ
AIHARA, M
TAKAHASHI, A
RAMA, SK
LAZAR, M
ALET, F
SORENSEN, E
GEBHARD, F
WEBER, W
BORZSONYI, T
GRANASY, L
CHAMON, C
MUCCIOLO, ER
MARTINS, GB
GAZZA, C
DRAZER, G
KOPLIK, J
BLASIUS, T
NIEDERMAYER, C
DORSEY, AT
BUNDER, JE
STAMERJOHANNS, H
HARADA, I
COMBESCOT, R
LEYRONAS, X
VYSIN, V
VYSIN, I
RIHA, J
SVACKOVA, K
DAHM, T
NATELSON, D
WILLETT, RL
DOMMERSNES, PG
VICHI, L
BELLIER-CASTELLA, L
HOLDSWORTH, PCW
ACQUARONE, M
NOCE, C
FILHO, RNC
COTTAM, MG
SCHLIEMANN, J
FERREIRA, PC
MANCINI, FP
TRAGTENBERG, M
VOO, KK
CHEN, HY
WU, WC
PARTHASARATHY, R
SRIDHAR, R
DEMSAR, J
HUDEJ, R
CHEN, H
ANDREICA, D
ORCAL, B
ERZAN, A
DANNA, G
RAMIREZ-SANTIAGO, G
WOLF, T
MANALO, S
KLEIN, U
CABRA, DC
LOPEZ, A
ROSSINI, GL
WAGNER, M
GOMEZ, L
DOBRY, A
DIEP, H
GOAN, HS
ROBERTS, AP
GARBOCZI, EJ
MIZUNO, Y
TSUTSUI, K
HAGA, N
SUGA, SI
BELOBORODOV, IS
ALTLAND, A
HEKKING, FWJ
BARABASH, SV
BERGMAN, DJ
PETROV, DS
WALRAVEN, JTM
MONIER, D
FRUCHTER, L
ALVAREZ, G
FORT, H
ZEE, A
NISHIYAMA, M
MORIMOTO, T
MAEGAWA, S
INAMI, T
OKA, Y
BRANCO, NS
SOUSA, JRD
BARTOSCH, L
YOKOO, T
RAYMOND, S
STROUD, DG
HSU, H
BECCA, F
CAPRIOTTI, L
SORELLA, S
AEBISCHER, C
BAERISWYL, D
BRAZOVSKI, S
HAAS, P
GRIESSHABER, E
SCHWEITZER, D
CIRONE, MA
SIMONS, BD
ZIRNBAUER, MR
CONTRERAS-SOLORIO, IGLDA
SHOVKUN, DV
TRUNIN, MR
ZHUKOV, AA
NEFYODOV, YA
BUZDIN, A
DAUMENS, M
HAFFNER, S
BRAMMEIER, DM
OLSON, CG
LYNCH, DW
KRATTENTHALER, C
WANG, T
MILLER, J
WINGREEN, NS
DILL, KA
CASTILLO, H
BOETTCHER, S
VAVILOV, MG
MANCINI, F
AVELLA, A
YURKEVICH, IV
LERNER, IV
CACCIUTO, A
THORLEIFSSON, G
COLDEA, R
FROST, CD
MASON, TE
YANG, I
SAVRASOV, SY
POPOV, YO
PRASAD, V
SUBRAMANYAM, SV
INOUE, JI
STURGEON, JB
LAIRD, BB
HUI, P
KOSHINO, M
KAGOSHIMA, S
OSADA, T
USKOV, AV
JAUHO, AP
TROMBORG, B
MORK, J
LANG, R
JOHANSSON, J
VARSANO, D
MORONI, S
SENATORE, G
NAUD, C
FAINI, G
MAILLY, D
ETIENNE, B
JAPARIDZE, GI
SEKANIA, M
KAKASHVILI, P
RINALDI, R
BRANCA, E
FELICE, RCRD
MASIERO, EMS
SPADA, GP
GARBESI, GGA
KEHREIN, S
PEREZ, M
BARBE, JC
SALVO, L
CHAUDHURI, I
TARAPHDER, A
GHATAK, SK
REIZER, MY
ALBRECHT, J
LEONHARDT, S
KRONMUELLER, H
BREY, JJ
PRADOS, A
APENKO, SM
SEIBOLD, G
ARTEMENKO, SN
REMIZOV, SV
STIESSBERGER, JS
ZWERGER, W
GEFEN, Y
KENZELMANN, M
RESSOUCHE, E
WILDES, A
ANGHEL, DV
CHA, MC
LAUNOIS, P
MORET, R
BOLLOCH, DL
ALBOUY, PA
TANG, ZK
LI, G
CHEN, J
APEL, W
BYCHKOV, YA
CEDRASCHI, P
HUANG, G
HIKIHARA, T
PENNA, V
KOLEVZON, V
KRECH, M
RADZIHOVSKY, L
CASATI, G
RAYCHAUDHURI, S
SHAPIR, Y
CHERNYAK, V
MUKAMEL, S
KISS, T
PIWNICKI, P
LOEW, RF
PFAU, T
GUSTAVSON, TL
PRITCHARD, DE
MA, N
SEVILLA, FJ
GRETHER, M
LAM, CH
HORVATH, VK
SANDOW, B
GLOOS, K
SCHIRMACHER, W
ALBUQUERQUE, LCD
LEITE, MM
CASTIGLIONE, F
WITTMER, JP
SCHOOT, PVD
MILCHEV, A
AWAZU, A
JUNG, G
SAVO, B
YUZHELEVSKI, Y
GUTMAN, DB
BROWN, KS
AVANESOV, AA
MELIN, T
LARUELLE, F
BUNKER, A
DUENWEG, B
HIROSE, K
ZHOU, F
WINGREEN, N
FLIESSER, M
REIDL, J
SZEPFALUSY, P
ESPOSTI, MD
GIARDINA, C
GRAFFI, S
ISOLA, S
RAPPEL, WJ
COHEN, I
FERREIRA, FF
STADLER, PF
KOVALEV, AE
MEYER, H
AKERA, H
RAMAKRISHNA, SA
KUMAR, N
EBBECKE, J
BLOCKER, M
AHLERS, FJ
DATTA, N
KUNZ, H
WANG, YS
KANG, DJ
PRELLIER, W
RAJESWARI, M
LUBECK, S
DHAR, D
SHARPEE, T
PLATZMAN, PM
MESSINA, R
HOLM, C
KREMER, K
MONTAMBAUX, G
ZLATIC, V
RAPHAEL, E
MAURITZ, O
GOLDONI, G
ROSSI, F
BULASHENKO, OM
RAEDT, HAD
HAMS, AH
DOBROVITSKI, VV
AL-SAQER, M
HARMON, BN
DAVIDCHACK, RL
LANNERT, C
BLOORE, DA
EZUNG, M
GURAPPA, N
PANIGRAHI, PK
BOTTI, M
KLEIMANN, T
YACOBY, A
BOERI, L
PERAZZO, RPJ
BANKS, AR
ERDIN, S
KAYALI, AF
LYUKSYUTOV, IF
POKROVSKY, VL
OH, GY
FOUSSATS, A
GRECO, A
REPETTO, C
ZANDRON, OP
ZANDRON, OS
MONDELLI, C
MUTKA, H
BLANCHARD, N
FEL, LG
MACHAVARIANI, VS
GRENIER, B
CEPAS, O
ZIMAN, T
HIESS, A
CHATTERJI, T
JEGOUDEZ, J
LETZ, M
GORIN, T
BEHR, G
GRAW, G
SHULGA, SV
DRECHSLER, S
KOSTOV, MK
LEWIS, JC
DIEP, P
MONTEMURRO, MA
TAMARIT, FA
CANNAS, SA
BUDDE, C
PRATO, D
RE, M
MUKHOPADHYAY, R
STELZER, J
BERNHARD, R
IMAI, Y
STAUDT, R
DZIERZAWA, M
APALKOV, VM
CHAKRABORTY, T
PIETILAINEN, P
NIEMELA, K
STRINATI, EAGC
PISTOLESI, F
MANINI, N
COHEN, R
EREZ, K
BEN-AVRAHAM, D
CSORDAS, A
MAUREL, P
LEPETIT, MB
SUAUD, N
GAZTELURRUTIA, TDR
TSORI, Y
ABU-SHIEKAH, IM
BAKHAREV, O
SCHWITALLA, J
GYORFFY, BL
PASTORINO, C
GAMBA, Z
SPALEK, J
BUSIELLO, G
CUOCO, M
MATERA, F
DELLAFIORE, A
HAMER, CJ
PERRY, JK
TAHIR-KHELI, J
III, WAG
KLINKO, PJ
MILLER, BN
MARTINEZ, M
MELLO, PA
MORITA, Y
LEUNG, PW
FIORENTINO, V
ZASINAS, E
BARABANOV, AF
MATHIEU, R
JONSSON, P
NAM, DNH
NORDBLAD, P
HILCZER, B
DODGSON, MJW
GESHKENBEIN, VB
PRIEL, A
SCHORGHOFER, N
GILLE, ST
HAUSSLER, R
LOHNEYSEN, HV
BAKK, A
HOYE, JS
ZANNONI, A
ROMERO, DB
MANSKE, D
EREMIN, I
MIRNY, LA
SHAKHNOVICH, EI
YU, CC
HONE, DW
GILLES, C
BONVILLE, P
WONG, KKW
MANN, S
BRODERIX, K
LOEWE, H
MUELLER, P
ZIPPELIUS, A
LANG, A
GHIGNA, P
TAGLIAFERRI, A
BROOKES, N
FATOLLAHI, AH
SHARIATI, A
ARAGAO-REGO, HH
FREITAS, JED
KABURAGI, M
ANDERSEN, OK
BETTELHEIM, E
LOUZOUN, Y
MOREL, S
BOUCHAUD, E
VALENTIN, G
HAGHIRI-GOSNET, AM
MERCEY, B
RAVEAU, B
EILMES, A
OSSIPOV, A
EINSTEIN, TL
LEWANDOWSKA, M
MATHUR, H
YU, YK
GOTCHEVA, V
TEITEL, S
BOND, SD
LEIMKUHLER, BJ
DEEM, MW
ELIASHVILI, M
TSITSISHVILI, G
LOPATIN, AV
KUTZ, JN
BHATTTACHARJEE, S
SARDAR, M
BHATTACHARJEE, S
TUZEL, E
SEVIM, V
NAGAEV, KE
HORNER, H
MALEVANETS, A
YEOMANS, JM
NUNEZ-REGUEIRO, MD
BRUNELLO, A
PITAEVSKII, L
FACCIN, F
MOUSSY, N
COURTOIS, H
NAYYAR, AH
HSU, JWP
VALENZUELA, B
JOLICOEUR, T
KAPLAN, L
JOHNSON, CW
LAZANU, S
LAZANU, I
BORCHI, E
BRUZZI, M
SVIDZINSKY, A
FETTER, A
BADOLATO, A
GIAZOTTO, F
LAZZARINO, M
PINGUE, P
BELTRAM, F
LUCHERONI, C
FAZIO, R
PELITI, L
ENGLMAN, R
YAHALOM, A
MCGEE, SA
HOLLAND, MJ
VERROCCHIO, P
YESILLETEN, D
ARIEL, G
IOFFE, LB
SCHUMACHER, HW
ZHENG, XH
CRUZ, FFDS
PINTO, MB
RAMOS, RO
RECATI, A
ZAMBELLI, F
MATHAR, RJ
SVEDLINDH, P
LEE, DKK
KAMBILI, A
WALKER, AB
HERMAN, D
DAHM, AJ
BALAKRISHNAN, G
