CHOU, T
GROVE-RASMUSSEN, K
BUITELAAR, M
FILINOV, AV
KOREPIN, VE
DISERTORI, M
BARTLETT, P
HENDERSON, SI
LEE, M
CHOI, J
COHEN, SD
MISCHLER, C
ANGELESCU, DE
BANERJEE, S
GRIFFITHS, RB
PENCKWITT, AA
SZALMA, F
FISCHER, S
MANZKE, R
KRAPF, A
DWELK, H
KUHN, PS
BANAVAR, J
HARJU, AP
BRENDEL, B
GUILLEUMAS, M
BASTEA, M
MITCHELL, AC
NELLIS, WJ
LACERDA, AH
HONIG, JM
METCALF, P
BROOKE, J
ROSENBAUM, TF
GUSLIENKO, KY
SPIEGEL, DR
THOMPSON, AL
CAMPBELL, WC
SANCHEZ, AD
REVELLI, JA
WIO, HS
SINITSYN, NA
GHOSAL, A
PERTSINIDIS, A
KIM, HJ
GHATEE, MH
SHAMS-ABADI, H
PONZI, A
RAMZANPOUR, A
GOROKHOV, D
SHIZUME, K
MASUHARA, N
MCCULLOCH, I
GULACSI, M
CODDINGTON, I
NAGAEV, EL
NEGRIER, M
TUAILLON-COMBES, J
VOGEL, J
HYEON-DEUK, K
RATIEVILLE, M
BERNERT, A
BOU-DIAB, M
COSTI, TA
ROBERTS, S
MUZYKANTSKII, B
BEREZHKOVSKII, AM
SZABO, A
QUEIROZ, SLAD
KNILL, E
LAFLAMME, R
MESOT, J
MAKI, HWK
BERGER, L
CHAUDHURI, P
PASK, JE
KORTUS, J
MOORE, JE
SKJETNE, B
HELLE, T
KOFMAN, R
CHEYSSAC, P
KOZUB, VI
SHELANKOV, AL
ALEKSEEV, KN
BERGLI, J
KONDO, H
BRINZANIK, R
BOCQUET, L
LOSERT, W
SCHALK, D
DRUMMOND, IT
HORGAN, RR
CILLA, S
FALO, F
FLORIA, LM
CHANDELIER, F
GEORGELIN, Y
MASSON, T
WALLET, JC
PISTOL, ME
ROZENFELD, AF
TESSONE, CJ
JACKIW, R
REBBI, C
CUSACK, BJ
ALEXANDER, TJ
OSTROVSKAYA, EA
UMENO, Y
NY, RG
CAPUZZI, P
HERNANDEZ, ES
SANTORI, C
PELTON, M
SOLOMON, G
DALE, Y
YAMAMOTO, Y
BROSSEAU, CN
POIRIER, M
BASSET, M
WIRTH, G
SPARTA, K
REDHAMMER, GJ
ROUSSEL, P
HEGER, G
ROTH, G
IONESCU, A
GUENTHERODT, G
HUENING, F
LUEKEN, H
CARINI, JP
BERNAL, OO
ROSE, MS
ANDRAKA, B
CHAU, R
PENZEL, T
PETER, JH
DOXASTAKIS, M
THEODOROU, D
RUSS, S
TAKAGI, M
TSUBONE, T
KONNO, S
CAFFAREL, M
BLOCH, I
KOHL, M
GREINER, M
HANSCH, TW
ESSLINGER, T
BOBROVSKII, V
MIRMELSTEIN, A
PODLESNYAK, A
ZHDAKHIN, I
PRUDNIKOV, VV
PRUDNIKOV, PV
FEDORENKO, AA
KRAMAR, O
BARANOV, D
YARUNIN, V
PRADHAN, S
SPERA, M
HESS, DW
MANGIONI, SE
DEZA, RR
ELSKENS, Y
HEWITT, KC
CARVALHO, CAAD
JORAS, SE
RINALDI, A
BERG, J
TSITSISHVILI, E
FARMER, JD
JOSHI, S
YEO, J
AVERIN, D
ABDULLAEV, B
MUSAKHANOV, M
MULLER, HO
FURLAN, M
LANGE, M
BAEL, MJV
LOOK, LV
SWERTS, J
BRUYNSERAEDE, Y
SAVOSTA, MM
DOROSHEV, VD
BORODIN, VA
PASHKEVICH, YG
KAMENEV, VI
TARASENKO, TN
ENGLICH, J
KOHOUT, J
SOLDATOV, AG
BARILO, SN
SHIRYAEV, SV
SKREBNEV, VA
MARCHENKO, VI
YAMADA, H
BOAKNIN, E
HILL, RW
PROUST, C
LUPIEN, C
KADIGROBOV, A
ALBERTINI, G
LEFEBVRE, J
POOLE, PJ
FRASER, J
AERS, GC
CHITHRANI, D
WILLIAMS, RL
COUTO, MS
BUCHLER, HP
KANCHARLA, SS
BOLECH, CJ
REGAL, CA
COLLINS, LA
SELINGER, RLB
SMITH, BB
LUO, WD
MICNAS, R
SIMON, A
CHIAVERINI, J
YASUMURA, K
KORI, H
ODAGAKI, T
KEHR, KW
BORGHARDT, A
KARPENKO, D
HAN, PD
ASAMITSU, A
GANBOLD, G
BOYADJIEV, TL
TODOROV, MD
MUKHERJEE, A
GLASSER, ML
GENCHEV, ZD
MANEKAR, MA
MOSSA, S
ANDERGASSEN, S
OSTROVSKY, PM
MARKIEWICZ, RS
ISHII, Y
FUJIWARA, T
FUKUDA, K
ITAKURA, M
TAKASAKI, H
KUMAGAI, K
NOZAKI, K
MITO, T
THESSIEU, C
PERTSEV, NA
EMELYANOV, AY
VILJOEN, HJ
LAUDERBACK, LL
MASLOV, VP
JIN, Q
GUO, Z
DING, D
GARCIA-LEKUE, A
LAMBERTI, PW
AKHIEZER, AI
ISAYEV, AA
PELETMINSKY, SV
YATSENKO, AA
BAKAI, A
CHALYI, A
KOZLOVSKII, M
IVASHKEVICH, EV
POVOLOTSKY, AM
PRIEZZHEV, VB
VIVES, E
PLANES, A
ROTERS, L
BORIS, AV
MANDAL, P
KOVALEVA, NN
PUCHER, K
HEMBERGER, J
DOERR, K
WALTER, T
SAHANA, M
ECKERT, D
SCHULTZ, L
BRAND, K
LEHMANN, M
KAZAKOV, AY
LUZ, MGED
RAPOSO, EP
LEI, T
HAWKINS, RJ
HANKE, A
MERRITT, D
FORTUNATO, S
FELDER, G
GARCIA-BELLIDO, J
GREENE, PB
KOFMAN, L
LINDE, A
TKACHEV, I
KIRILLOV, AA
GHOSH, PK
ZHUKOVSKY, VC
KLIMENKO, KG
KHUDYAKOV, VV
EBERT, D
DIB, CO
ESPINOSA, OR
BROWN, J
HICKMAN, C
WAGNER, DG
ZHELIGOVSKY, VA
PODVIGINA, OM
BEC, J
MORETTO, LG
ELLIOTT, JB
PHAIR, L
WOZNIAK, GJ
MIRNY, L
SHAKHNOVICH, E
BERGE, L
RASMUSSEN, JJ
VLASOV, AA
BARDOU, F
RIVERA, M
YEUNG, C
FIRPO, MC
LARIONOV, AA
FEDICHKIN, LE
KOKIN, AA
VALIEV, KA
VOLOVICH, IV
DEB, B
KURIZKI, G
MATHUR, M
CANNATA, F
IOFFE, M
CHAPLINE, G
HOHLFELD, E
SANTIAGO, DI
NAGAO, T
ROJAS, O
SOUZA, SMD
THOMAZ, MT
BOHIGAS, O
KUS, M
IUCCI, A
LI, K
DAVYDYCHEV, AI
KALMYKOV, MY
GUENTHER, U
KUKLOV, A
ZHUK, A
SZNAJD-WERON, K
WERON, R
OGURI, A
VOROPAEV, M
CHEPELIANSKII, AD
MATTEO, TD
ASTE, T
KALYUZHNYI, YV
CUMMINGS, PT
LEE, JW
LEE, IH
NAM, SB
EFRAT, A
TEMPERE, J
ABRAHAM, ERI
SABOURI-GHOMI, M
BOKACHEVA, L
KENT, AD
WALTERS, MA
DELPRATO, AM
JR, APM
GAO, XPA
SANDOMIRSKY, V
BUTENKO, AV
LEVIN, R
SCHLESINGER, Y
DAERDEN, F
MARTINEZ, JRR
TEWARI, S
EMELCHENKO, GA
NAUMENKO, IG
LORENZO, AD
LIMA, JAS
SILVA, R
FEIGENBAUM, J
MILLIS, A
CERRUTI, NR
EREMIN, M
VARLAMOV, S
SENGER, RT
TANATAR, B
PETRONZIO, R
FELICI, M
KATAEV, V
CHOI, KY
GRUNINGER, M
FREIMUTH, A
CAMPS, I
PATTON, KR
KELLER, M
KLIMOV, DK
SCHLESENER, F
KLIMPEL, R
BRETIN, V
SHIAU, YH
JAKSCH, D
SCHULZE, K
NAIDYUK, YG
KVITNITSKAYA, OE
ALDROVANDI, S
EVERTS, HU
PFNUER, H
KAMINSKI, M
SHIELDS, PA
NICHOLAS, RJ
GRANDJEAN, N
MASSIES, J
GARBER, W
TANGERMAN, FM
FELDMAN, JL
CHING, ESC
CHAU, KL
POPOV, VV
TEPERIK, TV
MEIER, F
POKRANT, S
DEO, N
SILVA, A
LEVIT, S
MAGPANTAY, JA
GARCIAS, F
MOHAYAEE, R
MONSON, PA
SARKISOV, L
LERIDON, B
DEFOSSEZ, A
DUMONT, J
CONTOUR, JP
ANDERSEN, NH
GRINBERG, I
LEHENY, RL
BEZERRA, CG
CHESMAN, C
ALBUQUERQUE, EL
BOOTHROYD, AT
GARDINER, CH
LISTER, SJS
SANTINI, P
NOIALLES, LD
CURRIE, DB
ECCLESTON, RS
BEWLEY, RI
HEDIN, L
YUAN, J
ERIKSEN, KA
HEDEGAARD, P
TUCHIYA, S
MONROE, JL
LI, SL
CHEN, GH
HSU, HP
LIN, SC
HARRIS, MJ
CORNELIUS, AL
CHAMPION, JDM
FENNELL, T
HAEDICKE, E
KOLTZENBURG, S
SEUFERT, M
CAZABAT, AM
CONINCK, JD
LACASTA, AM
SAGUES, F
MATACZ, JPBA
BRAUN, D
JAIN, K
SINCHENKO, AA
POKROVSKI, VY
ZYBTSEV, SG
GORLOVA, IG
IOANNIDOU, T
SUTCLIFFE, P
SZNAJD, J
SROKOWSKI, T
BUNZMANN, C
URBANCZIK, R
KRASNYJ, J
JACAK, D
EVANGELOU, SJXSN
PAUL, G
STANLEY, AHE
CARRIER, P
LEWIS, LJ
DHARMA-WARDANA, MWC
GEERS, JME
HESSELBERTH, MBS
BOYKO, VS
VAKNIN, D
MAJCHERCZYK, T
POTOCZNA-PETRU, D
NUNNER, T
BRUINSMA, RF
GELBART, WM
SHEKA, DD
IVANOV, BA
LEVANON, M
RAPAPORT, DC
TANNOUS, C
FESSANT, A
GIERALTOWSKI, J
JAY, JP
SPENATO, D
LANGLOIS, J
GALL, HL
ARMOUR, AD
FUCHS, JN
KLIMONTOVICH, YL
RYBIN, AV
VARZUGIN, GG
SOMPOLINSKY, H
BARISIC, OS
ROSSETTO, V
KIRCHHOFF, F
MEHL, MJ
PAPANICOLAOU, NI
PAPACONSTANTOPOULOS, DA
KHAN, FS
AKINO, N
NOBREGA, RA
RODEGHERI, CC
POVOAS, RC
CAPOTE, R
DELGADO, A
FUJIWARA, Y
BILLOIRE, A
FARINA, L
KIM, IM
RODRIGUEZ-PONCE, I
ROMERO-ENRIQUE, JM
RULL, LF
SCHULER, J
BAUCH, T
MOUKARZEL, C
LIBBRECHT, KG
CROSBY, T
SWANSON, M
PROSKURYAKOV, YY
DILLMANN, O
PRAEHOFER, M
SPOHN, H
LI, ZB
SHUAI, Z
WANG, Q
LUO, HJ
CHAVE, J
LYU, P
MOON, K
MARENDUZZO, D
CALZOLARI, A
MASSER, TM
MARAGO, O
FOOT, C
SONESON, J
BENCINI, F
SANGREGORIO, C
SORACE, L
OSTERTUN, S
KILTZ, J
BOCK, A
MERKT, U
GAITE, J
ZHENG, D
WANG, BH
KOVALEV, VM
CECCONI, F
CARLONI, P
GHOSE, SK
DEV, BN
HEISKANEN, M
TORSTI, T
PUSKA, MJ
NIEMINEN, RM
LOOS, J
NEMETH, ZA
HARRISON, A
YOUNGSON, ID
SYLJYASEN, O
LEFMANN, K
RISCHEL, C
RODNEY, D
FINEL, A
FINDEIS, F
BAIER, M
ZRENNER, A
ABSTREITER, G
MITRA, A
KUHN, D
CHTCHELKATCHEV, NM
GERLAND, U
BUNDSCHUH, R
HOWALD, C
SHIRAISHI, K
TAMURA, H
BOUWEN, A
GOOVAERTS, E
SCHOEMAKER, D
STEFAN, M
YARESKO, AN
ANTONOV, VN
PICKARD, CJ
MAURI, F
COLLET, O
DUGAEV, VK
BOGDANOV, AN
ROESSLER, UK
ADENWALLA, S
WELSCH, P
HARKEN, A
BRAND, JI
SEZER, A
ROBERTSON, BW
BLUESTEIN, I
SLEVIN, K
OHTSUKI, T
OLSHANII, M
TANUMA, Y
MATVEENKO, SI
BRAZOVSKII, SA
CASTELNOVO, M
ZOLFL, MB
POZGAJCIC, K
JOHANSSON, G
JEAN, MS
EVEN, C
GUTHMANN, C
JONSSON, PE
GARCIA-PALACIOS, JL
UTTER, B
RAGNARSSON, R
BODENSCHATZ, E
JAYAWARDANE, DN
BROWN, LM
PAYNE, MC
CARTER, B
PRIX, R
LAROCHELLE, S
KANEKO, N
MANG, PK
ARTHUR, J
HO, CM
WEBSTER, AJ
CANTARERO, A
MARTINEZ-PASTOR, J
OLGUIN, D
ALONSO, MI
GARRIGA, M
HOGG, MJ
KAHLMANN, F
TARTE, EJ
EVETTS, JE
LEE, SJ
LEE, JR
HENDRIX, DA
JARZYNSKI, C
MUNOZ, JD
YOOK, SH
TU, Y
GIOVANAZZI, S
BAKER, J
SANTAMARIA-HOLEK, I
MAJUMDAR, P
MCCLOUD, KV
KURNAZ, ML
ABOU, B
BONN, D
MEUNIER, J
ZEGRYA, G
NARASIMHAN, SL
KRISHNA, PSR
MURTHY, KPN
VILLALBA, VM
PINO, R
HINNEMANN, B
HANSEN, K
TOPPARI, J
SUPPULA, T
PEKOLA, J
NOULLEZ, A
FANELLI, D
GAZEAU, JP
JELLAL, A
LIN, C
ZONG, FH
DOBRIN, R
NEUMANN, RM
LAFORGE, C
MANDAL, BP
RUSTICHINI, A
PSALTAKIS, GC
CHEN, YR
MICHEL, C
BLACK, WB
GRAHAM, MD
PEREZ-JIMENEZ, AJ
LO, CK
WAN, JTK
YU, KW
GU, GQ
CANCIO, AC
CHOU, MY
HOOD, RQ
TSURUTA, A
MATSUURA, T
KURODA, Y
VILENKIN, A
MIGUEL, MC
MINAKATA, M
KROTKOV, PL
VERMEULEN, GA
TZSCHICHHOLZ, F
WANGEN, M
DU, Q
MALEVERGNE, Y
MAGDEBURG, AET
SAUERMANN, G
KROY, K
GROSFILS, P
PELTOLA, J
RUNDLE, PB
TIAMPO, KF
MCGINNIS, S
CHANG, EK
CANTONI, C
AYTUG, T
VEREBELYI, DT
PARANTHAMAN, M
SPECHT, ED
NORTON, DP
CHRISTEN, DK
FROJDH, P
HEMMEN, JLV
LITVINOV, VI
CAPITAN, JA
BODEA, D
KARGUPTA, K
LU, G
FAK, B
DIJK, NHV
CHITOV, GY
SHIM, BO
HENRY, BI
YUM, MK
SHIBATA, N
YOSHIOKA, D
BARRE, J
ALLEN, D
MARQUES, MAL
KONKOLI, Z
HARREIS, HM
NELSON, KD
JIN, R
BIOTTEAU, G
MOUSSA, F
SHULYATEV, D
KOPIDAKIS, G
MORGANTE, AM
TSIRONIS, GP
ZHUKOV, AV
KAWAGUCHI, A
GOLDAMMER, M
LOSERT, C
TERKI, F
FRAHM, KM
LOSKUTOV, YM
KLEEFISCH, S
WELTER, B
NAITO, M
SGIAROVELLO, C
MONTE, SD
DOVIDIO, F
CHEN, YY
ZUELICKE, U
KATSUFUJI, T
DEMARCO, B
PAPP, SB
JIN, DS
BELASHCHENKO, KD
ANTROPOV, VP
BOYER, LL
SAUREL, D
LECOEUR, P
HORVATH, CDZ
SANKARARAMAN, S
FURMAN, I
ZUO, JK
SWAN, AK
WENDELKEN, JF
GRIN, Y
STANTON, CJ
KIM, CS
LAPERTOT, G
CUNNINGHAM, CE
ANDERSON, N
HARJU, A
CHAUDHURY, R
PAUL, SK
HEUKELUM, AV
BISSELING, RH
NORMAND, JM
PORTALES, H
FUJII, M
SUMITOMO, M
HAYASHI, S
RAIMONDI, R
CAROTI, E
CHAN, DLC
ELIEZER, D
RAY, R
SCHUMANN, R
FRIGYIK, BA
GIRALDI, F
MORLAT, T
SANCHEZ, N
MANN, RB
CHAK, P
COX, J
BERERA, A
DREMIN, IM
IVANOV, OV
NECHITAILO, VA
MAISHEEV, VA
BEVEREN, EV
RUPP, G
FERRER, EJ
INCERA, VDL
CAPPIELLO, L
CORNWALL, JM
SILVA, AJD
KLISHEVICH, SM
PLYUSHCHAY, MS
TRAUBENBERG, MRD
DIDONNA, BA
VENKATARAMANI, SC
KRAMER, EM
FEDERBUSH, P
OSADCHY, D
AVRON, J
BODINEAU, T
IOFFE, D
GRANZOW, GD
RIECKE, H
LASSIG, M
VALLERIANI, A
BOFFETTA, G
KAROLYI, G
PENTEK, A
GONZALEZ-CINCA, R
RAMIREZ-PISCINA, L
HERNANDEZ-MACHADO, A
MARTINEZ-PINEDO, G
SCHWERDTFEGER, P
CAURIER, E
LANGANKE, K
NAZAREWICZ, W
SOHNEL, T
WILKE, CO
FYGENSON, DK
FACCHI, P
PASCAZIO, S
SCARDICCHIO, A
LOMBARDO, FC
MONTEOLIVA, D
KARKUSZEWSKI, ZP
SACHA, K
ZAKRZEWSKI, J
BENDER, CM
DUNNE, GV
MEISINGER, PN
SIMSEK, M
DELANNOY, G
MURDOCH, SG
BOYER, V
JOSSE, V
BOUYER, P
ASPECT, A
OHARA, P
ZHAO, T
MA, HR
HONG, T
KRAHNE, R
HEYN, C
HEITMANN, D
DAVYDOV, EV
LUBASHEVSKY, IA
MILYAEV, VA
MUSIN, RF
LORENZ, CD
EASTHAM, PR
ROLLBUEHLER, J
PASQUALE, FD
GIAMPAOLO, SM
GARCIMARTIN, A
MAZA, D
ILQUIMICHE, JL
ZURIGUEL, I
HE, L
TSUCHIYA, Y
KINOSHITA, K
HANAGURI, T
SHIBATA, K
NISHIZAKI, T
KOBAYASHI, N
KOLESNIK, S
MAXWELL, M
MAIS, J
RANKENBURG, IC
UCHIDA, M
BARTASHEVICH, M
GOTO, T
SHIROISHI, M
KONDRAT, G
LAW, AP
GROSS, S
LANGER, JS
VIRTANEN, SMM
SALOMAA, MM
TSUI, YK
SNYDER, J
GRIFONI, M
KHOMYAKOV, PA
FLECK, M
JIANG, HW
YABLONOVITCH, E
YANG, ZQ
HENDRIKX, R
QIN, Y
ZANDBERGEN, HW
MALYSHEV, VA
CECCHINI, M
ORANI, D
RUBINI, S
JAHN, L
NARAYAN, KS
SIU, YL
FLIEGANS, O
CHUANG, J
FRYDMAN, A
SHOPOVA, DV
UZUNOV, DI
DELGADO, J
LUQUE, B
GAVEAU, B
LANKVELT, FJMV
BELINICHER, VI
PROVIDENCIA, C
JOAS, C
CATALIOTTI, FS
KING, C
MATIJEVIC, E
BUDAI, JD
SMOCK, M
XIONG, Y
SHEN, SQ
WALREE, CAV
JENNESKENS, LW
MIHALKOVIVC, M
COCKAYNE, E
GU, RY
SHENG, L
DUFTY, JW
KIM, SY
CRESWICK, RJ
MANGHI, M
AUBOUY, M
LIGOURE, C
KIVELSON, S
BANDOPADHYAY, S
DAS, S
PEDERSEN, S
FOURNIER, JB
BUHLER, A
LOW, U
SONIN, EB
OSMAN, OY
TWORZYDLO, J
PHILLIPS, JC
GARST, M
BENA, I
KAWAI, R
BROECK, CVD
FINNEMORE, DK
OSTENSON, JE
DONLEY, EA
KITATANI, H
SINADA, A
HAINZL, C
WANG, L
MIGLIORINI, G
SUKUMARAN, S
MERKT, R
MUSTAFA, O
HOPKINSON, I
CAMACHO, J
WILLE, U
SCHIESSEL, H
KARL, H
ARMENIO, AA
WIDOM, J
WISNIACKI, DA
BOCQUET, M
DUPRAT, R
SENGUPTA, P
MARIANI, E
GALATOLA, P
WEBER, A
KOERNER, S
SCHEIDT, EW
GLATZ, A
MARTINEZ-SAMPER, P
LUCHIER, N
BRISON, JP
CANFIELD, P
HENNY, M
HAAS, MK
CAVA, RJ
STAMP, PCE
SENESI, R
ANDREANI, C
COLOGNESI, D
NARDONE, M
POLIANSKI, ML
HEINRICH, M
FRITSCH, V
SZWABINSKI, J
WEYRAUCH, M
SCHINZER, S
TAKANO, Y
FUJII, H
KUMAKURA, H
TOGANO, K
KITO, H
IHARA, H
MENON, GI
REMBIELINSKI, J
SMOLINSKI, KA
DUNIEC, G
HEBERT, F
FOKAS, AS
GRIGORIEV, P
REIS, DA
DECAMP, MF
BUCKSBAUM, PH
CLARKE, R
DUFRESNE, E
HERTLEIN, M
MERLIN, R
FALCONE, R
KAPTEYN, H
MURNANE, M
LARSSON, J
MISSALLA, T
WARK, J
GOVORUN, EN
KHOKHLOV, AR
KHALATUR, PG
BOROVINSKY, AL
CRUTCHFIELD, JP
FELDMAN, DP
EGE, C
SUN, DY
GONG, XG
BHAGWAT, SS
SHIRODKAR, VS
KEPA, H
KUTNER-PIELASZEK, J
TWARDOWSKI, A
MAJKRZAK, CF
STORY, T
GALAZKA, RR
HA, K
SWAGTEN, HJM
JONGE, WJMD
SIPATOV, AY
VOLOBUEV, V
GIEBULTOWICZ, TM
NETZ, PA
GUISONI, N
HENRIQUES, VB
TRIAS, E
MAZO, JJ
BRINKMAN, A
ORLANDO, TP
CRAMER, M
SCHWALB, CH
RAUSCHER, M
TANAKA, M
GROSBERG, A
LI, ZJYYQ
NEMIROVSKY, AM
KOSCIELNY-BUNDE, E
REGO, HHA
PARK, MS
KANG, WN
LARBALESTIER, DC
RIKEL, MO
COOLEY, LD
POLYANSKII, AA
JIANG, JY
PATNAIK, S
CAI, XY
FELDMANN, DM
GUREVICH, A
SQUITIERI, AA
NAUS, MT
EOM, CB
HELLSTROM, EE
REGAN, KA
ROGADO, N
HAYWARD, MA
HE, T
SLUSKY, JS
KHALIFAH, P
INUMARU, K
HAAS, M
MOCHIZUKI, M
LU, WF
RESTAGNO, F
CRASSOUS, J
CHARLAIX, E
MONCHANIN, M
SHLIMAK, I
SAFAROV, VI
TKACHUK, AM
CANALS, B
CASTRO, A
GARANIN, D
VASCONCELOS, HHM
BRAUNECKER, B
ASTAKHOVA, TY
GURIN, OD
MENON, M
VINOGRADOV, GA
RUBIO-BOLLINGER, G
M, R
SHEN, Z
DASKALAKIS, G
SCHUSTER, C
BELLAICHE, L
SEMERJIAN, G
FEDOROV, A
YUSOF, Z
MOODENBAUGH, AR
KENDZIORA, C
JIAN, S
LOUREIRO, S
BATISTA, AA
BIRNIR, B
VERNON, DC
PLISCHKE, M
JOOS, B
FEDOROFF, NV
HIRAMOTO, M
HABIB, S
LYTHE, G
YANNOPAPAS, V
OPPER, M
WINTHER, O
DASH, LK
GETZ, G
VENDRUSCOLO, M
SACHS, D
MENTRUP, D
SRICHEEWIN, C
LORAZO, P
MEUNIER, M
SCHILFGAARDE, MV
MAHMUD, KW
EB, JWVD
SERGEEVA, G
PARIS-SUD, HAS
CEASACLAY, RT
SZALAI, F
LICHTENSTEIN, AI
NITZAN, A
MENDES, RV
LIMA, R
ARAUJO, T
TSVETKOV, AA
ACERBI, C
NORDIO, C
SIRTORI, C
YANEZ, JM
MOLINA, MI
MATTIS, DC
KARAPETROV, G
IAVARONE, M
KWOK, WK
KIM, KHP
CHOI, EM
DOU, SX
WANG, XL
HORVAT, J
MILLIKEN, D
COLLINGS, EW
SUMPTION, MD
SRIVASTAVA, RC
LU, Q
LOZANNE, ALD
KORDYUK, AA
MALIOUK, A
SHARONI, A
MILLO, O
NOWOTNY, T
BEHN, U
POTTHOFF, M
WEGNER, T
SCHLATHOLTER, T
VONBANK, M
ERTL, K
DONATH, M
ARIKAWA, M
KOTEGAWA, H
MURANAKA, T
FARKAS, IJ
DERENYI, I
CARVALHO, JXD
PIAZZA, F
ABRAHAM, E
CIANCHI, L
GIALLO, FD
ALLEGRETTI, F
SPINA, G
METOKI, N
ROSENKRANZ, S
FRETWELL, HM
PLASTINA, F
FEHRMANN, H
SCHMITT, F
MARSAN, D
NOWICKA, A
DUDEK, MR
KOWALCZUK, M
MACKIEWICZ, P
DUDKIEWICZ, M
SZCZEPANIK, D
TOPPARI, JJ
LIZZIT, S
BARALDI, A
GROSO, A
REUTER, K
GANDUGLIA-PIROVANO, MV
STICHLER, M
KELLER, C
WURTH, W
MENZEL, D
BUGOSLAVSKY, Y
PERKINS, GK
CAPLIN, AD
ORMEROD, P
MOUNFIELD, C
PROFETA, G
GATELLI, M
MOCHENA, M
LIN-CHUNG, PJ
MCKINNEY, BA
WATSON, DK
MATEOS, JL
KURATA, N
SILLANPAA, MA
LINDELL, RK
HAKONEN, PJ
PAKHNIN, DV
SCHERTZER, D
LOVEJOY, S
GENG, WT
AFONIN, VV
LAIHO, R
HOLMES, CB
BOGDANOV, P
DESSAU, DS
AIURA, Y
OKA, K
UCHIDA, SI
MUENZNER, R
SCHMIDT, H
ZASADZINSKI, JF
GRAY, KE
AN, JM
FOYGEL, M
KOSCHNY, T
POTEMPA, H
SCHWEITZER, L
KEMPER, A
BALLESTEROS, FJ
MURO, EM
BURSTEDDE, C
KLAUCK, K
RAAS, C
COLOMBO, L
KANKI, K
IJSSELSTEIJN, RPJ
HOENIG, HE
MEYER, HG
GOLUBOV, A
KUPRIYANOV, MY
YURIN, IM
KALININ, VB
BIANCONI, A
SAINI, NL
CASTRO, DD
AGRESTINI, S
CAMPI, G
SACCONE, A
NEGRI, SD
COLAPIETRO, MGM
BROUN, DM
KAMAL, S
SUTJAHA, IM
SAXENA, SS
BORLAND, L
JUNG, MH
QIU, Y
RUSH, JJ
NAKANISHI, T
CHOI, JH
GERASHENKO, A
MIKHALEV, K
VERKHOVSKII, S
DYACHKOVA, T
TYUTYUNNIK, A
ZUBKOV, V
MARCHETTI, PA
BAKER, A
BARBER, MJ
CLARK, JW
ANDERSON, CH
FLOUQUET, J
LEJAY, P
SONG, KJ
GIBSON, BJ
AHN, K
GURTUBAY, IG
ZHAO, ZW
NI, YM
REN, ZA
CHE, GC
YANG, HP
LIU, ZY
QUIJADA, MA
SIMPSON, JR
VASILIU-DOLOC, L
KARABASHEV, SG
DUNCAN, RD
PENG, X
LEE, E
TOMSIC, M
DONIACH, S
HERNANDEZ, AD
BISHER, ME
ITO, T
PAUL, RL
TREACY, MMJ
LIN, XM
PALMER, SE
LI, JX
LEE, TK
CHAKRAVORTY, H
GEORGIEV, L
DORDEVIC, SV
SINGLEY, EJ
BASOV, DN
UESU, Y
FUJISHIRO, K
VELAZQUEZ, L
GUZMAN, F
KOUKHAR, VG
WASER, R
MOREIRA, AA
LOA, I
SYASSEN, K
HEALY, SB
FILIPPI, C
KRATZER, P
VASCONCELOS, IF
FIGUEIREDO, RSD
ITIN, AP
SATO, TJ
OZYUZER, L
MIYAKAWA, N
GARCIA-PELAYO, R
SLEPOY, A
PAZMANDI, F
KULKARNI, RN
VOGT, T
SCHNEIDER, G
HRILJAC, JA
ABELL, JS
PLIMAK, LI
OLSEN, MK
COLLETT, MJ
HIGAI, S
NAKAO, K
HASAN, MZ
MONTANO, PA
SINHA, SK
ISLAM, Z
TANABE, K
KAWASAKI, S
AOKI, D
ROSEN-ZVI, M
PEINKE, J
FRIEDRICH, R
DESFEUX, R
BAILLEUL, S
COSTA, AD
SUNG, GY
YOO, DC
LEE, JY
ZHONGLIAN, D
ZHANG, JB
JIANG, M
HU, J
REYNAUD, F
MERTZ, D
DEBIERRE, JM
GHORAYEB, AM
STEPANOV, A
VOIRON, J
DELMAS, C
RODRIGUEZ, BA
HUSSEIN, MS
VOROV, OK
IWASA, Y
CHI, DH
UEHARA, K
NISHIBORI, E
TAKATA, M
SAKATA, S
OHISHI, Y
SHIMOMURA, O
SAITO, E
TAKNENOBU, T
ANDRIEU, S
CHATELAIN, C
LEMINE, M
BERCHE, B
HUISINGA, T
BARLOVIC, R
MULLER, KH
HANDSTEIN, A
NAROZHNYI, VN
MILLS, M
CHENG, G
QUANTIQUE, SNMQ
DEGEN, C
WIGGER, G
MONNIER, R
DELLEY, B
TEGZES, P
SAMPLE, JG
DURAN, J
STANESCU, TD
SANCHEZ, D
WIERSIG, J
EBIHRA, AT
PRENDERGAST, D
NOLAN, M
FAHY, S
GREER, JC
CIPRIANI, P
KERSCHER, M
MATARRESE, S
ELGAROY, O
BLASIO, FVD
RASMUSSON, L
HERRERA, L
PAVON, D
STEPHENS, GJ
HU, BL
MOSS, IG
NAYLOR, W
MAZZITELLI, FD
BRANDENBERGER, RH
LUKYANOV, S
ZAMOLODCHIKOV, A
DUCLOS, P
KREJCIRIK, D
TERAMAE, JN
HOU, BY
ZHANG, YZ
ZHEN, Y
LEE, KM
QUARATI, P
WIRZBA, A
KNOLL, J
IVANOV, YB
