RADZIHOVSKY, L
NUDELMAN, A
RAGHAVAN, R
AROUH, SL
DMITRIEV, VV
KOSAREV, IV
PONARIN, DV
GUERRA, V
JONES, TC
KADANOFF, LP
LEVINE, A
MCCARTEN, JP
NAGEL, SR
VENKATARAMANI, SC
WU, X
SURKOV, EL
SHLYAPNIKOV, GV
CIRAC, JI
GARDINER, CW
NARASCHEWSKI, M
ZOLLER, P
WALLIS, H
SCHENZLE, A
FOURNIER, J
AARON, FD
JAMES, F
HOOGLAND, J
KLEISS, R
JANIK, RA
GUIDA, R
MAGNOLI, N
OBUKHOV, YN
SCHUNCK, FE
CONNOR, DO
AGLIETTI, U
GRIGUOLO, L
JACKIW, R
PI, SY
SEMINARA, D
CEA, P
DAI, J
KIM, DK
SOH, K
EGLITIS, RI
BORSTEL, G
ZAKHAROV, O
GIRONCOLI, SD
BASKI, AA
WHITMAN, LJ
SCHAKEL, A
ABULAFIA, Y
WOLFUS, Y
BURLACHKOV, L
MA, Z
HASTINGS, MB
HONG, S
CHOU, MY
GHOSH, PK
CHUNG, W
GREITER, M
VSEBA, P
CHIRIKOV, BV
IZRAILEV, FM
MIRNY, LA
LIDMAR, J
ARENZON, JJ
SELLITTO, M
SINGH, P
BLAWID, S
TUAN, HA
URG, JK
FLAMBAUM, VV
WOJTASZCZYK, P
SENGER, B
VOEGEL, JC
SCHAAF, P
KUMAR, N
FILIPPI, C
LOUVAIN, CJUECD
UMRIGAR, CJ
SAKAMOTO, H
VISSENBERG, MCJM
KOTTOS, T
TSIRONIS, GP
PRUS, O
ALONI, Y
SIVAN, U
GARRETT, AW
NAGLER, SE
BARNES, T
SALES, BC
KLIMOV, DK
DUMOULIN, B
EVERTZ, HG
BERBERIAN, JG
SHORE, J
REINHARDT, WP
MANRUBIA, S
GRIBAKIN, GF
ZLATIC, V
DELAMOTTE, B
VI, MMR
RUDINGER, A
MOREA, M
MARTIN, I
ZUELICKE, U
HAVILIO, M
MORI, S
CERF, NJ
MONVEL, JBD
MARTIN, OC
PERCUS, AG
CUEILLE, S
SANDLER, N
BEKELE, M
ANANTHAKRISHNA, G
CHOI, MY
LEE, HY
PARK, SH
JONSSON, T
WHEATER, JF
HALSEY, TC
HONDA, K
DUPLANTIER, B
WHAN, CB
ORLANDO, TP
WITTMER, JP
CATES, ME
CLAUDIN, P
MOTT, NF
LAHIRI, R
WHITE, J
LIN, HQ
WILLS, AS
HARRISON, A
MENTINK, SAM
TUN, Z
MULLER, HM
KOONIN, SE
PONTUAL, I
HAPKE, T
PAETZOLD, G
RAMIREZ, R
HERRERO, CP
ARNEODO, A
CONT, R
MUZY, J
MCCANN, E
SUN, W
WU, SY
LUMSDEN, MD
GAULIN, BD
SUBRAHMANYAM, V
SHI, F
CUNNINGHAM, JE
AZHARI, A
TRUONG, TT
TEH, CR
KOO, WK
LEE, BS
MACUCCI, M
LEE, HW
CAZABAT, AM
MOREAU, M
VILLETTE, S
ALEKSEEV, AY
CHEIANOV, VV
FROHLICH, J
SHIZUYA, K
GROSS, DHE
ECKER, A
ZHANG, XZ
MAZENKO, GF
WICKHAM, RA
KROTOV, Y
SALEM, NM
NIMOUR, SMA
ZEKRI, N
OUASTI, R
BALDASSARRI, A
GROSSMAN, EL
HAN, JH
WOLF, DE
BATISTA, CLDS
CHARRET, IC
SOUZA, SMD
THOMAZ, MT
SILVA, EVC
VARMA, C
RIDGWAY, D
TSIMRING, L
CHO, S
YI, K
QUINN, JJ
CARRARO, C
HIRAMOTO, H
UEDA, M
PAUL, BC
GONZALEZBUXTON, C
SHUBASHREE, D
ANUSOOYA, Y
SNYDER, GJ
GEBALLE, T
MCLEAN, JG
PEALE, DR
CHASON, E
COOPER, BH
SHALAEV, BN
KIM, JM
DUTTA, M
YANG, M
ZHOU, L
TAO, R
CANNAS, SA
AROVAS, D
XIE, N
JIN, S
ANDO, M
MATSUMURA, H
VINCENT, E
HAMMANN, J
OCIO, M
KUEHN, R
CHENCINSKI, N
LEVINE, AM
SCHREIBER, WM
LONGA, L
OLIVEIRA, FA
CUEVAS, E
LAGUNA, P
BORRILL, J
AGOSTINI, V
CARLINO, G
SAKITA, B
POLCHINSKI, J
PLECHKO, VN
BOUWKNEGT, P
SCHOUTENS, K
LEE, JAAJJ
BAZHANOV, VV
LUKYANOV, SL
ZAMOLODCHIKOV, AB
SMILGA, AV
AMELINOCAMELIA, G
KLEINKREISLER, M
NEILL, DM
PALEV, TD
TAN, P
TEKIN, B
WOLVERTON, C
FROYEN, S
WEI, SH
FOIS, D
OPPO, S
NATOLI, V
COHEN, MH
KUDRNOVSKY, J
TUREK, I
MOLL, N
KLEY, A
PEHLKE, E
YU, BD
STUMPF, R
ECKSTEIN, H
BOCKSTEDTE, M
SCHWEGMANN, S
OVER, H
ERTL, G
WICKHAM, LK
KARMA, A
RAPPEL, W
BETOURAS, JJ
DONG, ZW
HADLEY, P
MARTIN, JI
VELEZ, M
VICENT, JL
HEEB, E
GLOOS, K
SINGH, KG
DEO, N
CLARKE, DG
CONINCK, JD
YUDSON, VI
NICOL, EJ
PRYOR, C
SARMA, DD
BARMAN, S
MAKSE, KBLRCHA
VOELKER, A
BERNARDI, LW
PRAKASH, S
HUSSLEIN, T
MORGENSTERN, I
SINGER, JM
MATUTTIS, HG
BULDYREV, S
RUHWANDL, RW
FISCH, R
MEDEIROSRIBEIRO, G
PETROFF, PM
ATHAS, GJ
CLARK, RG
DZURAK, AS
NEWBURY, R
STARRETT, RP
SKOUGAREVSKY, A
KINOSHITA, N
KINOSHITA, T
TANAKA, Y
AMICO, L
AXE, JD
ICHIKAWA, N
MOODENBAUGH, AR
UCHIDA, S
SYLJUASEN, OF
TECHN, JBIO
ZEYHER, R
KULIC, ML
COHEN, EGD
JEON, GS
DANA, I
RODRIGUEZNUNEZ, JJ
DELFINO, A
APRELEV, AM
LISACHENKO, AA
LAIHO, R
PAVLOV, A
PAVLOVA, Y
ABOLFATH, M
NAFARI, N
HU, C
SU, W
YANG, J
CLERC, JP
GIRAUD, G
ROBIN, T
LIVERPOOL, TB
EDWARDS, SF
SCHMID, J
REIS, FDAA
BAEHR, M
WINKELMANN, M
VORDERWISCH, P
STEINER, M
PICH, C
ZHANG, F
TSAI, S
HAAS, FM
ELATTARI, B
KAGALOVSKY, V
KINZELBACH, H
SIMONIAN, D
SARACHIK, MP
MADJET, ME
SCHAPIRO, O
HASSENKAM, T
PEDERSEN, S
BAKLANOV, K
KRISTENSEN, A
SORENSEN, CB
LINDELOF, PE
JOVANOVIC, B
KAO, YC
KOBAYASHI, K
OHE, C
IGUCHI, K
SHIBATA, N
ISHII, C
CAPEZZALI, M
ARIOSA, D
BECK, H
PELSTER, A
KIKOIN, KA
KISELEV, MN
MISHCHENKO, AS
BASCO, F
HEINE, V
ROSSI, F
MOLINARI, E
RINALDI, AFR
CINGOLANI, R
SENATORE, G
FANTONI, S
DIAMANT, H
ANDELMAN, D
CONTI, S
ALONSO, D
JAIN, SR
RAG, T
VIRGI, B
MORI, M
WATSON, GI
SCHWARZ, US
SWAMY, K
GOMPPER, G
CAO, M
CACCIUTO, A
FURTADO, C
JARIC, MV
UMRIGAR, MPNCJ
STOCKBURGER, JT
NIERMANN, S
STROBL, K
MEYERORTMANNS, H
TSUBOI, Z
GANNON, T
BARCI, DG
FRAGA, ES
YAMAN, K
PINCUS, P
SOLIS, F
WEI, C
LEWIS, SP
RAPPE, AM
SASAKI, T
CATELLANI, A
KASCHNER, R
SCHOENE, M
SEIFERT, G
PASTORE, G
PARASHAR, P
KAKEI, S
RUBINSTEIN, J
BLAER, AS
REN, HC
TCHERNYSHYOV, O
BRUUN, GM
CASTLE, M
FEDERICI, F
VARLAMOV, AA
KONCZYKOWSKI, M
VILLARD, C
KOREN, G
BOSSCHE, MVD
CAFFAREL, M
LEI, M
POVOLOTSKY, AM
ABAD, J
RIOS, M
LAW, J
BARENGHI, CF
STOPA, M
WIJLAND, FV
CASER, S
KHALIULLIN, G
DOMINGUEZCASCANTE, R
FARAUDO, J
LEUNG, KT
SAPPEY, R
CHAPUT, F
BOILOT, JP
ZINS, D
LESSARD, A
GUPTA, P
TEITEL, S
HANSEN, FY
MALBOUISSON, APC
SVAITER, NF
IINO, Y
UJINO, H
NAUROTH, M
GUILLEUMAS, M
BARRANCO, M
JEZEK, DM
LOMBARD, RJ
PI, M
DEKKER, JP
ZELLER, R
PHYSICS, AFT
JEZEK, D
REICHMAN, DR
BROWN, FLH
ZHELUDEV, A
LINDGARD, P
PIZA, AFRDT
PHYSICS, JBO
TECH, MIO
MA, C
ZHENG, QR
KOLEZHUK, A
ROTH, R
MCNAMARA, S
FU, L
RESCA, L
DAHMEN, KA
VILAR, JMG
REZAYI, E
GEBHARD, F
BOTT, K
SCHEIDLER, M
THOMAS, P
KOCH, SW
MANOLESCU, A
POSCHEL, T
VOJTA, M
BECKER, KW
SILBEY, RJ
MUNIZ, RB
ANGELUCCI, A
RATTRAY, M
SHAPIRO, J
MARX, D
HORMUZDIAR, JN
CHIAO, M
DZYALOSHINSKII, IE
SACUTO, A
MONOD, P
VIALLET, V
COLSON, D
CAMPELLONE, M
DORE, P
MEDAGLIA, PG
CHEONG, S
PEREZ, E
PLOOG, K
HA, BY
DESPOSITO, MA
HERNANDEZ, ES
BARELLI, A
SHUBIK, M
FREIRE, JA
ANDERS, F
CHATTOPADHYAY, A
HAYASHI, M
YOSHIOKA, H
JUNG, Y
KIM, I
WILHELM, J
SUZUMURA, Y
TSVETKOV, A
SKVORTSOV, MA
MAILLARD, JM
ELFIMOV, IS
KOROTIN, MA
TERAKURA, K
SCHILLER, A
POLIMENI, A
PATANE, A
ALESSI, MG
MARTELLI, F
BOSACCHI, A
FRANCHI, S
SCHMITTMANN, B
WINTZ, W
REIZER, M
LARADJI, M
TOXVAERD, S
MOURITSEN, OG
SCARRATT, D
AVAKYAN, A
HAKOBYAN, T
SEDRAKYAN, A
DELTOUR, P
KYUNG, B
MUKHIN, SI
GASPARD, P
HU, X
ZHAO, Y
BROWN, DW
LINDENBERG, K
MIRANDA, E
DOBROSAVLJEVIC, V
JAIME, M
HARDNER, HT
SALAMON, MB
RUBINSTEIN, M
DORSEY, P
EMIN, D
FAZAKAS, P
RICHTER, K
ULLMO, D
JALABERT, RA
EZHOV, SY
BAUML, B
PHYSIKALISCHES, HBU
BARTOLO, RE
GIORDANO, N
HUANG, X
BERNSTEIN, GH
RODRIGO, JG
VIEIRA, S
ALIEV, FG
DOEBEREINER, HG
TREECE, RE
HORWITZ, JS
CHRISEY, DB
GUNAL, Y
VISSCHER, PB
NAGI, ADS
BANDER, M
ROZHKOV, A
LAST, Y
CIRIA, JC
KRECH, M
TIMMERMANS, E
KOLESNIKOV, NN
DUDIY, SV
SHI, H
ZHENG, W
DAMGAARD, PH
HAAGENSEN, PE
KHOMSKII, D
GEERTSMA, W
MOSTOVOY, M
DREWITZ, A
LEIDL, R
BURKHARDT, TW
BRILLIANTOV, N
STRIZHAK, P
FEDER, DL
MURAKAMI, S
ROCKE, C
WIXFORTH, A
KOTTHAUS, JP
BOEHM, H
WEIMANN, G
SHNIRMAN, A
BARMAN, SR
GROH, B
DIETRICH, S
JOHNSTON, D
LORKE, A
FRICKE, M
MILLER, BT
HASLINGER, M
MIHALY, G
OSZLANYI, G
BAUMGARTNER, G
BENAKLI, M
ZHENG, H
PUMIR, A
DRESSELHAUS, P
JI, L
HAN, S
LUKENS, J
GOLOVANOV, V
MILDE, F
SCHREIBER, M
CARINI, JP
ROTH, J
GAEHLER, F
FANO, G
ORTOLANI, F
ZIOSI, L
NIJS, MD
POWERS, TR
MANTEGNA, RN
ABRAMSON, G
VEGA, HJD
SANCHEZ, N
COMBES, F
CASETTI, L
CLEMENTI, C
PETTINI, M
MORIARTY, K
CHANDRASEKHARAN, S
BELLAC, ML
MANUEL, C
WAMBACH, J
BRAATEN, E
NIETO, A
DOERFEL, BD
MEISSNER, S
MARTINEZ, JRR
MAGNEA, U
JOICHI, I
MATSUMOTO, S
YOSHIMURA, M
COMELLAS, J
NEUGEBAUER, J
WALLE, CGVD
ALIPPI, P
MARCUS, PM
QUASSOWSKI, S
HERMANN, K
ISAEV, AP
MOZYRSKY, D
HILLERY, M
DEROV, JS
PIMPINELLI, A
KASPARIAN, J
VAJDA, S
RAIROUX, P
GRONBECHJENSEN, N
COLAIORI, F
FLAMMINI, A
MULLIN, WJ
ADAMS, CP
FAWCETT, E
MENSHIKOV, AZ
FROST, CD
FORSYTH, JB
HOLDEN, TM
LANGMANN, E
KWON, H
ALFE, D
GULSEREN, O
JAMES, R
BULLETT, DW
KOZUB, VI
ZARAND, G
MAITI, K
VASANTHACHARYA, NY
ERB, A
WALKER, E
FLUKIGER, R
BOKIL, H
BYCHKOV, YA
SPIES, L
BERNARDINI, F
NIEMINEN, RM
BOSIN, A
METHFESSEL, M
JENSEN, MH
GHATAK, SK
RAY, DK
ROJAS, C
SEKIGUCHI, A
ABREU, FVD
SANTOS, J
CHU, DP
DOWSETT, MG
COOKE, GA
HORBACH, J
ANGELL, CA
DAVIDSON, D
SHILLCOCK, J
BARZIV, R
MOROZ, JD
MOSES, E
GERSHENSON, ME
OAS, G
BADRINARAYANAN, R
KOHNO, M
PARRY, AO
BOULTER, CJ
SWAIN, PS
NOAT, Y
WAPPLER, T
FOX, JA
YANG, MS
KOLEZHUK, AK
YAMAMOTO, S
RICHARDSON, MJE
BRATUS, EN
ZHANG, SZ
BERRIZ, GF
DERKACHOV, SE
MANASHOV, AN
CARBONARO, CM
MASSIDDA, S
HOROVITZ, B
HONDA, Y
HORIGUCHI, T
HERVIEUX, PA
TSETSERIS, L
VEKHTER, I
EVERS, F
PARK, W
FAIN, B
WOHLER, C
SCHONHAMMER, K
WIEGMANN, P
KUROE, H
SEKINE, T
VARGA, I
PIPEK, J
CARLON, E
MAZZEO, G
BEIJEREN, HV
NGHIEM, B
DELLARINGA, S
RONCAGLIA, M
TU, M
SCHONFELD, B
SOLDATOV, ES
KHANIN, VV
TRIFONOV, AS
GUBIN, SP
KOLESOV, VV
PRESNOV, DE
IAKOVENKO, SA
KHOMUTOV, GB
MALZAHN, D
CIACH, A
LORENZ, T
AMMERAHL, U
ZIEMES, R
BUECHNER, B
DHALENNE, G
GERL, F
GINANNESCHI, PM
AUWEILER, T
SOL, BBAC
FAUCHERE, AL
PHYSIK, T
CHAPMAN, JR
PIECHON, F
HEUER, A
XIE, Q
ZHANG, W
CHEN, N
POPKOV, V
SWEENEY, V
BAZEIA, D
NASCIMENTO, JRS
TOLEDO, D
NEERGAARD, J
MUSSAWISADE, K
GAMBA, A
LACAZE, R
MOREL, A
PETERSSON, B
SCHROPER, J
COHEN, A
HEINRICH, A
LEWIS, LJ
ARITA, R
PONOMAREV, IV
GOTZELMANN, B
KOTLYAR, R
DAVIES, B
GHOSH, A
BOSE, I
HALBOTH, CJ
METZNER, W
MIKESKA, B
BABAEV, ES
KTITOROV, SA
GRABOWSKI, M
CAMLEY, RE
KENNEDY, DC
BLUDMAN, SA
POLONYI, J
ARNOLD, P
YAFFE, LG
JURKIEWICZ, J
KRZYWICKI, A
ZHOU, JG
LIANG, JQ
BURZLAFF, J
MUELLERKIRSTEN, HJW
CHODOS, A
MINAKATA, H
FUJIKAWA, K
KUBO, H
OH, CH
LANDSHOFF, PV
REBHAN, A
FADDEEV, L
NIEMI, AJ
MUNSTER, G
GRIESSHAMMER, H
LEHMANN, D
JUSTIN, JZ
XI, H
LI, X
GUNTON, JD
KIYOHARA, K
GUBBINS, KE
PANAGIOTOPOULOS, AZ
STIXRUDE, L
BENIOFF, P
BIRD, JP
JR, HW
SEKIMOTO, K
KRUSE, K
KRAUT, S
NAEF, F
PARTOENS, B
HARRIS, JM
SHEN, ZX
WHITE, PJ
MARSHALL, DS
SCHABEL, MC
BISHOP, RF
TSOHANTJIS, I
ANDRAUD, C
BEGHDADI, A
LAFAIT, J
DHAR, A
PARK, K
HUTCHINSON, DAW
HOGG, T
HUBERMAN, BA
FUJII, M
FINK, W
SHUKLA, P
KALVODA, S
CANNING, A
BUENEMANN, J
WEBER, W
MATHUR, H
KIBLER, MR
MEYER, J
SEPPALA, E
KUMAR, P
BENYOUSSEF, A
MULLER, HO
FISCHER, M
PFROMMER, BG
LANGARI, A
SUZUKI, J
ANDERSEN, JO
BELOUSSOV, IV
FROLOV, VV
RIBAULT, M
VEITSHANS, T
CAVAGNA, A
GIARDINA, I
BAILEY, D
BURGESS, CP
LUTKEN, CA
SHANNON, N
FARAKOS, K
RUOSTEKOSKI, J
WALLS, DF
CHUBYKALO, AE
CONTRERASSOLORIO, DA
MORARAMOS, ME
KIM, YS
PUCHKOV, AV
BASOV, DN
FOLTIN, G
BAUSCH, R
BLOSSEY, R
WOCHNER, P
BUTTREY, DJ
FURMAN, I
KARIMI, M
VIDALI, G
KENNETT, R
ZENG, H
TRUMPER, AE
MANUEL, LO
GAZZA, CJ
CECCATTO, HA
MAHADEVAN, P
SHANTHI, N
WONG, T
COLLETT, MJ
TAN, SM
WRIGHT, EM
MINAKUCHI, K
HOLIAN, BL
GUMBSCH, P
LAMBRECHT, A
BAO, W
BROHOLM, C
DAI, P
CHEN, CH
GRAHAM, R
WALLS, D
YURKE, B
PARGELLIS, AN
RALPH, DC
TINKHAM, M
STAGER, CV
RAJU, NP
GREEDAN, JE
PHILLIPS, R
YETHIRAJ, M
DOGAN, TBLF
MILLER, R
BELTZ, G
ORTIZ, M
SCHROEDER, A
BUCHER, E
CLAUSEN, KN
TRIOZON, F
KRAL, P
GUREVICH, E
KHAN, FS
IMURA, K
BUYUKKILIC, F
DEMIRHAN, D
TIRNAKLI, U
BUZDIN, AI
MILLER, GA
SORENSEN, LB
BENOIST, R
ZWERGER, W
BRANCO, NS
BULUTAY, C
TOMAK, M
BILSTEIN, U
BEVAN, TDC
MANNINEN, AJ
COOK, JB
HOOK, JR
HALL, HE
SULLOW, S
NIEUWENHUYS, GJ
MYDOSH, JA
FERNANDEZ, P
BALDERESCHI, A
GLOEGGLER, EF
FISK, Z
FOZOONI, P
RICHARDSON, PJ
LEA, MJ
DYKMAN, MI
FANGYEN, C
BLACKBURN, A
ACHARYYA, M
CHAKRABARTI, BK
GULACSI, M
KUCHINSKII, EZ
ERKABAEV, MA
SAMS, T
CHRISTENSEN, BE
THRANE, U
CASTRO, M
HANSEN, LB
LUNDQVIST, BI
PAJERSKY, P
SURDA, A
TAKEUCHI, T
HELLBERG, CS
RAMANATHAN, S
ERTACS, D
LIN, Y
MARQUES, CM
JULICHER, F
PROST, J
SOWA, A
ROST, M
V, J
ABANOV, AG
SIDDHARTHAN, R
DUNSIGER, SR
KIEFL, RF
CHOW, KH
KEREN, A
KOJIMA, K
LUKE, GM
MACFARLANE, WA
SONIER, JE
UEMURA, YJ
WU, WD
LEQUEUX, F
HEBRAUD, P
TAKAYAMA, H
PENNA, V
DUIN, CNAV
TITOV, M
PHYSIQUE, VRVCD
LEE, JW
VENAKIDES, S
BLAGOEV, KB
BEDELL, KS
DERELI, G
CAGIN, T
ULUDOGAN, M
OLIVEIRA, MJD
SATULOVSKY, J
WAELBROECK, H
ZYCZKOWSKI, K
COHEN, D
SHIN, D
PECH, J
ULLOD, CL
SHARPE, SR
FAUSER, B
KOJIMA, T
SLAVNOV, N
TORNKVIST, O
SCHRODER, E
CHASE, JG
LIDAR, DA
THOMS, S
SCHULTEFROHLINDE, V
ZWIERZYCKI, M
KATAEV, V
RAMEEV, B
HUECKER, M
BOROWSKI, R
JOST, M
POLITI, A
GIRLICH, U
HELLMUND, M
POPOVIC, D
WASHBURN, S
KOSEKI, O
SEITSONEN, AP
DIETRICH, H
BLUDAU, H
JACOBI, K
TAYLOR, J
ZHARKOV, VM
ZEUNER, S
ALLEN, SJ
BUSCHINGER, B
ROBERTS, AP
DAMASCELLI, A
SCHULTE, K
SOUKOULIS, CM
SASVARI, L
GARCIA, AE
ZEPEDANAVRATIL, A
CAMACHO, A
SVOBODA, P
NACHTWEI, G
BREITLOW, C
HEIDE, S
NOACK, R
FLIESSER, M
BLUHM, R
KOSTELECKY, VA
ASTE, T
AKKERMANS, E
NAREVICH, R
HUANG, Y
SAMMIS, CG
TATARA, G
LIU, L
MEDVEDEV, MV
SELKE, W
YANG, CB
CAI, X
FIELD, SB
GRIFFITHS, RB
BOOSE, D
RIVIER, N
PLIMAK, LI
WILKINSON, M
WALKER, PN
CHINYAMA, K
PAUL, W
CLAUS, U
GU, L
GROSS, NA
FIORENTIN, V
KORNISS, G
FONG, HF
KEIMER, B
MILIUS, DL
AKSAY, IA
BERKOWITZ, B
BALBERG, I
TOROCZKAI, Z
LABERGE, CA
AUSLENDER, M
KAUFMANN, HJ
SALJE, EKH
YAGIL, Y
CROWELL, PA
KEULS, FWV
REPPY, JD
TAKANO, H
GUNSENHEIMER, U
SZETO, KY
TAM, WY
PIEKAREWICZ, J
SHEPARD, JR
KAHLILOV, VR
COLUZZI, B
POHJOLA, T
SALOMAA, MM
DOBEREINER, HG
EVANS, E
WORTIS, M
MALYSHEV, C
BENVENUTO, F
SILVA, PPD
BOCKRATH, M
MCEUEN, PL
CHOPRA, NG
ZETTL, A
THESS, A
SMALLEY, RE
DAHM, T
ZEMAN, J
KNEZEVIC, M
ELEZOVICHADZIC, S
KISELEV, SA
SIEVERS, AJ
SAVAGE, CM
MINNITI, C
DRESS, C
REN, H
SCHREIBER, GR
MINGUZZI, A
TOSI, MP
LOPEZDAVALOS, A
HOCHBERG, D
KEPHART, TW
EDWARDS, G
MURATOV, CB
CORNELL, EA
SWIERKOWSKI, L
ERRANDONEA, D
SEGURA, A
SANCHEZROYO, JF
MUNOZ, V
GRIMA, P
CHEVY, A
ULRICH, C
CHUI, ST
RYZHOV, VN
IRZ, DY
CHEN, H
PRAEHOFER, M
SPOHN, H
OUDOVENKO, V
SAMUKHIN, AN
JASTRABIK, L
OHNISHI, A
RANDRUP, J
YURISHCHEV, MA
GONNELLI, RS
UMMARINO, GA
STEPANOV, VA
PIERSON, SW
PLIMPTON, S
SHCHUR, LN
MUKAIDA, H
SAKAMOTO, Y
BARYAKHTAR, IV
MOUKARZEL, CF
DUXBURY, PM
BENENTI, G
LEATH, PL
SCHAFROTH, S
RODRIGUEZ, JJ
ZAITSEVZOTOV, SV
REMENYI, G
MONCEAU, P
MIZUNO, Y
TOHYAMA, T
REISENEGGER, A
MITCHELL, D
CHEON, T
SHIGEHARA, T
GRANZOW, GD
RIECKE, H
REISZ, T
ELLIS, J
KARLINER, M
SAMUEL, MA
OH, P
ALLEN, RE
ZIMMERSCHIED, F
BRANCHINA, V
MOHRBACH, H
BORGES, PF
BOSCHIFILHO, H
FARINA, C
LU, C
HIGUCHI, S
NISHIGAKI, SM
SAKAI, N
CONCAS, G
LISSIA, M
BULGAC, A
DANG, GD
HOFMANN, HF
BRITO, R
MAILLET, JM
SANTOS, JSD
BUTTS, DA
HAMA, Y
KODAMA, T
PADULA, SS
DITTRICH, J
ARTEMENKO, SN
KOBELKOV, AG
DITUSA, JF
FRIEMELT, K
RAMIREZ, AP
JR, EN
NOBRE, FD
ALMEIDA, JRLD
GALSTYAN, AG
CRESWICK, RJ
STEINITZ, MO
PINK, DA
TINDALL, DA
KIM, G
HWANG, DS
ALDEA, A
GARTNER, P
NITA, M
SHUKLA, A
DIXON, DC
WALD, KR
CZART, WR
KOSTYRKO, T
ROBASZKIEWICZ, S
PREIS, C
SCHLENGA, K
KLEINER, R
CONWELL, EM
FANG, J
TEER, E
KNOBLER, CM
LOH, K
SCHULZE, C
HAJDU, J
ONUFRIEV, A
MARSTON, B
CASTLETON, IM
BARNES, CHW
SMITH, CG
SCHENK, K
SONG, PH
OHIRA, T
TRACY, CA
WIDOM, H
CHIOLERO, A
STOICA, O
PODKLETNOV, EE
ZOCCHI, G
XIONG, S
PUNYINDU, P
BLACK, CT
SOUZA, I
MARTINS, JL
ATTARD, P
SIMONIAN, V
JAVANAINEN, J
PEREZGARRIDO, A
KOJIMA, KM
FUDAMOTO, Y
LARKIN, M
MERRIN, J
NACHUMI, B
MOTOYAMA, N
EISAKI, H
HOSOYA, S
STERNLIEB, BJ
COSTA, UMS
LYRA, ML
PLASTINO, AR
GROBER, C
FEINER, LF
OLES, AM
PORTMAN, JJ
WONG, LW
JIANG, HW
SCHAFF, WJ
CABRA, D
ROSSINI, G
SACRAMENTO, PD
MARSH, CA
BERTHIER, C
HORVATIC, M
STOCKERT, O
LOHNEYSEN, HV
POON, WCK
BUTAUD, P
YUKALOV, VI
MAKEEV, MA
MOORE, C
CUNIBERTI, G
MARTINEZRATON, Y
VERBERG, R
SCHEPPER, IMD
FEIGENBAUM, MJ
GORELIK, L
KULINICH, S
ARYASETIAWAN, F
BAKER, TH
BRAUN, OM
DAUXOIS, T
PALIY, MV
USSISHKIN, I
TORNOW, S
ZEVIN, V
ZWICKNAGL, G
HO, CL
LIAO, MJ
BONATSOS, D
DASKALOYANNIS, C
CERNICCHIARO, G
MARTIN, T
HASSELBACH, K
BENOIT, A
BLUMER, N
BULLA, R
GOLUB, A
CHAMATI, H
PISANOVA, ES
TONCHEV, NS
PFISTER, CE
VELENIK, Y
TOME, T
MONTHOUX, P
MASPERO, G
HEWITT, K
DEVEREAUX, T
CHEN, XK
WANG, XZ
NAEINI, J
IRWIN, JC
BERGOMI, L
CHEN, JJ
SCHONFELD, F
TEVOSYAN, K
STEBELSKI, M
SZOPA, M
ZIPPER, E
BUTHERS, CC
GUDOWSKANOWAK, E
BRICKMANN, J
BASKIN, EM
ENTIN, MV
SARYCHEV, AK
SNARSKII, AA
SAWATARI, R
RUINI, A
RESTA, R
VALTCHINOV, VI
KALMAN, G
BLAGOEV, K
CUCCOLI, A
ROSSI, A
TOGNETTI, V
VAIA, R
MACCHI, A
PEDROLLI, G
SCHLIEMANN, J
MALCAI, O
MIKHAILOV, I
LOEFFEN, PW
MULLENDER, S
KARTTUNEN, M
FOERSTER, A
NER, JK
OF, PMU
GREMPEL, DR
MEIXNER, S
LEGHISSA, M
SAEMANNISCHENKO, G
MASSON, T
WALLET, J
KOCHETOV, E
YARUNIN, V
PRUISKEN, AMM
PICOZZI, S
CONTINENZA, A
FREEMAN, AJ
SIMMEL, F
WHARAM, DA
PAPENBROCK, T
ALVAREZ, A
TINTORE, J
BUONANNO, A
CELLA, G
ORTAKAYA, B
GUNDUCC, Y
AND, MA
MANTON, NS
SCHMIDHUBER, C
KLADKO, K
MACKAY, RS
DAVIES, KTR
IVANOV, OV
TRIFONOV, DA
TAKEMURA, K
SUSHKOV, O
SAWATZKY, G
DERZHKO, OV
VERKHOLYAK, TM
CHANDLER, JI
CHUDNOVSKIY, AL
YAKOVLEV, DR
ZEHNDER, U
OSSAU, W
BOGUNA, M
FARAGO, O
TSVETKOV, AA
KOOPS, GEJ
KOLESHNIKOV, N
REN, ZF
WANG, JH
BRUCK, E
HERRMANN, T
NOLTING, W
AUDET, JF
KROGER, H
POULIQUEN, O
HURD, M
ORZA, JAG
NOIJE, TPCV
MYERS, CR
DORIA, MM
HOLLAUER, G
PARAGE, F
BUISSON, O
PALM, E
MARSH, C
BACKX, G
INO, K
SUZUKI, N
BUHRMAN, RA
UPADHYAY, SK
LOUIE, RN
WENDLER, L
KRAFT, T
HARTUNG, M
BERGER, A
SUNDARAM, M
ENGLISH, JH
GOSSARD, AC
STELZER, J
DOMANSKI, T
SENGUPTA, A
LUBECK, S
DALITZ, C
HONNER, G
CRISTOFANO, G
GIULIANO, D
MAIELLA, G
PLANCK, JLVIVM
BLATT, M
HARADA, K
MAASS, P
SALINGER, MA
STANLEY, MHR
POSTERNAK, M
CHAN, HB
GLICOFRIDIS, PI
MELLOCH, ML
SUDEROW, H
BRISON, JP
